"Plan_name","fund_family","fund_class","fund_type","investment_plan","asset_size","minimum_investment","last_divident","bonus","entry_load","exit_load","benchmark","launch_date","performance_returns_1_mth","performance_r16urns_3_mth","performance_returns_6_mth","performance_returns_1_year","performance_returns_2_year","performance_returns_3_year","performance_returns_5_year","performance_r15k_1_mth","performance_rank_3_mth","performance_rank_6_mth","performance_rank_1_year","performance_rank_2_year","performance_rank_3_year","performance_r14k_5_year","performance_absolute_returns_2017_Qtr1","performance_absolute_returns_2016_Qtr1","performance_absolute_returns_2015_Qtr1","performance_absolute_returns_2014_Qtr1","performance_absolute_returns_2013_Qtr1","performance_a13olute_returns_2017_Qtr2","performance_absolute_returns_2016_Qtr2","performance_absolute_returns_2015_Qtr2","performance_absolute_returns_2014_Qtr2","performance_absolute_returns_2013_Qtr2","performance_absolute_returns_2017_Qtr3","performance_a12olute_returns_2016_Qtr3","performance_absolute_returns_2015_Qtr3","performance_absolute_returns_2014_Qtr3","performance_absolute_returns_2013_Qtr3","performance_absolute_returns_2017_Qtr4","performance_absolute_returns_2016_Qtr4","performance_ab11lute_returns_2015_Qtr4","performance_absolute_returns_2014_Qtr4","performance_absolute_returns_2013_Qtr4","performance_absolute_returns_2017_annual","performance_absolute_returns_2016_annual","performance_absolute_returns_2015_annual","performance_ab10lute_returns_2014_annual","performance_absolute_returns_2013_annual","nav_52_week_high","nav_52_week_low","portfolio_equity_1","portfolio_equity_2","portfolio_equity_3","portfolio_equity_4","portfolio_equity_5","portfolio_equity_6","portfolio_equity_7","portfolio_equity_8","portfolio_equity_9","portfolio_equity_10","portfolio_sector_1","portfolio_sector_2","portfolio_sector_3","portfolio_sector_4","portfolio_sector_5","portfolio_sector_6","portfolio_sector_7","portfolio_sector_8","portfolio_sector_9","portfolio_sector_10","portfolio_value_1","portfolio_value_2","portfolio_value_3","portfolio_value_4","portfolio_value_5","portfolio_value_6","portfolio_value_7","portfolio_value_8","portfolio_value_9","portfolio_value_10","portfolio_asset_1","portfolio_asset_2","portfolio_asset_3","portfolio_asset_4","portfolio_asset_5","portfolio_asset_6","portfolio_asset_7","portfolio_asset_8","portfolio_asset_9","portfolio_asset_10","portfolio_asset_allocation_eqity","portfolio_asset_allocation_others","portfolio_asset_allocation_debt","portfolio_asset_allocation_mutual_funds","portfolio_asset_allocation_money_market","portfolio_asset_allocation_cash_call","portfolio_conc1tration_holding_top5","portfolio_concentration_holding_top10","portfolio_concentration_sector_top3","portfolio_sector_right_bottom_1","portfolio_sector_right_bottom_2","portfolio_sector_right_bottom_3","portfolio_sector_right_bottom_4","portfolio_sector_right_bottom_5","portfolio_sector_right_bottom_6","portfolio_sector_percentage_right_bottom_1","portfolio_sector_percentage_right_bottom_2","portfolio_sector_percentage_right_bottom_3","portfolio_sector_percentage_right_bottom_4","portfolio_sector_percentage_right_bottom_5","portfolio_sector_percentage_right_bottom_6","portfolio_sector_high_right_bottom_1","portfolio_sector_high_right_bottom_2","portfolio_sector_high_right_bottom_3","portfolio_sector_high_right_bottom_4","portfolio_sector_high_right_bottom_5","portfolio_sector_high_right_bottom_6","portfolio_sector_low_right_bottom_1","portfolio_sector_low_right_bottom_2","portfolio_sector_low_right_bottom_3","portfolio_sector_low_right_bottom_4","portfolio_sector_low_right_bottom_5","portfolio_sector_low_right_bottom_6","asset_size_1date","asset_size_1value","asset_size_2date","asset_size_2value","asset_size_3date","asset_size_3value","asset_size_4date","asset_size_4value","asset_size_5date","asset_size_5value","asset_size_6date","asset_size_6value","asset_size_7date","asset_size_7value","asset_size_8date","asset_size_8value","asset_size_9date","asset_size_9value","asset_size_10date","asset_size_10value","asset_size_11date","asset_size_11value","asset_size_12date","asset_size_12value","asset_size_13date","asset_size_13value","asset_size_14date","asset_size_14value","asset_size_15date","asset_size_15value","asset_size_16date","asset_size_16value","asset_size_17date","asset_size_17value","asset_size_18date","asset_size_18value","asset_size_19date","asset_size_19value","asset_size_20date","asset_size_20value","riskometer.x"
"UTI Bond Fund - Direct Plan (G) ","UTI Mutual Fund","Debt Long Term","Open-Ended","Growth","1,724.5 Nov-30-2017",1000,"N.A.","N.A.","N.A.","N.A.","","Jan 01, 2013","-0.8","-1.3","-0.6","3.6","9.5","8.2","9.1","114","101","89","61","27","25","23","0.6","1.4","3.0","2.3","2.8","3.1","2.1","-0.5","5.0","3.9","1.6","5.8","4.2","1.4","-3.5","-1.4","3.4","0.2","6.8","0.8","3.8","14.6","7.4","16.8","4.4","54.47 (Sep 06, 17)","51.01 (Feb 09, 17)","NCD IDEA CELLULAR LTD.","NCD RELIANCE UTILITIES & POWER PVT LTD.","NCD RELIANCE JIO INFOCOMM LTD","NCD INDIAN RAILWAYS FIN CORPN LTD.","NCD RURAL ELECTRIFICATION CORPORATION LTD.","NCD STATE BANK OF INDIA","NCD Dewan Housing Finance Corporation","NCD Dewan Housing Finance Corporation","NCD HPCL MITTAL ENERGY LTD.","RBL BANK LTD. STD - 91 DaysMargin deposit","CARE-AA+","CRISIL-AAA","CRISIL-AAA","CRISIL-AAA","CRISIL-AAA","CRISIL-AA+","CARE-AAA","CARE-AAA","ICRA-AA","","88.97","81.45","79.57","50.40","50.00","44.89","41.06","33.11","16.33","12.00","5.16","4.72","4.61","2.92","2.90","2.60","2.38","1.92","0.95","0.70",0,0,32.59,"N.A",60.2,7.21,"20.31","28.86","N.A.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","765.2","Sep-17","830.0","Jun-17","784.4","Mar-17","747.6","Dec-16","788.0","Sep-16","980.7","Jun-16","1,063.7","Mar-16","3,388.5","Dec-15","1,140.4","Sep-15","1,159.9","Jun-15","1,384.1","Mar-15","1,282.5","Dec-14","366.1","Sep-14","78.3","Jun-14","96.7","Mar-14","103.1","Dec-13","104.8","Sep-13","105.0","Jun-13","117.1","Mar-13","12.6","MODERATE"
"UTI Bond Fund (G) ","UTI Mutual Fund","Debt Long Term","Open-Ended","Growth","1,724.5 Nov-30-2017",1000,"N.A.","N.A.","N.A.","N.A.","","Jun 17, 1998","-0.9","-1.5","-1.0","2.7","8.6","7.2","8.1","120","107","103","82","57","70","61","0.4","1.2","2.8","2.0","2.6","2.9","1.9","-0.7","4.7","3.6","1.4","5.6","4.0","1.2","-3.8","-1.5","3.2","-","6.6","0.6","3.0","13.7","6.4","15.7","3.4","52.13 (Sep 06, 17)","49.06 (Feb 09, 17)","NCD IDEA CELLULAR LTD.","NCD RELIANCE UTILITIES & POWER PVT LTD.","NCD RELIANCE JIO INFOCOMM LTD","NCD INDIAN RAILWAYS FIN CORPN LTD.","NCD RURAL ELECTRIFICATION CORPORATION LTD.","NCD STATE BANK OF INDIA","NCD Dewan Housing Finance Corporation","NCD Dewan Housing Finance Corporation","NCD HPCL MITTAL ENERGY LTD.","RBL BANK LTD. STD - 91 DaysMargin deposit","CARE-AA+","CRISIL-AAA","CRISIL-AAA","CRISIL-AAA","CRISIL-AAA","CRISIL-AA+","CARE-AAA","CARE-AAA","ICRA-AA","","88.97","81.45","79.57","50.40","50.00","44.89","41.06","33.11","16.33","12.00","5.16","4.72","4.61","2.92","2.90","2.60","2.38","1.92","0.95","0.70",0,0,32.59,"N.A",60.2,7.21,"20.31","28.86","N.A.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","1,013.6","Sep-17","1,053.7","Jun-17","1,058.3","Mar-17","1,115.1","Dec-16","1,501.0","Sep-16","1,365.4","Jun-16","1,476.6","Mar-16","4,561.1","Dec-15","1,602.1","Sep-15","1,688.8","Jun-15","1,797.2","Mar-15","1,959.7","Dec-14","1,801.1","Sep-14","1,898.7","Jun-14","2,287.4","Mar-14","2,804.6","Dec-13","3,100.3","Sep-13","3,367.4","Jun-13","2,908.9","Mar-13","1,764.3","MODERATE"
"UTI Capital Protection Oriented Scheme- Series I - 3 years Plan (G) ","UTI Mutual Fund","","Close-Ended","Growth","116.1 Feb-26-2010",5000,"N.A.","N.A.","N.A.","N.A.","N.A.","Dec 26, 2006","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-0.3","1.7","-4.3","-","-","-","7.5","-2.2","3.4","-","-","3.3","1.0","5.2","-","-","-0.2","0.4","4.5","-","-0.3","14.9","-5.4","13.6","-","12.40 (Feb 22, 10)","12.40 (Feb 22, 10)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,0,0,"N.A",0,0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",NA
"UTI CCP Advantage Fund - Direct Plan (G) ","UTI Mutual Fund","Equity Oriented Hybrid Speciality Funds","Open-Ended","Growth","226.5 Nov-30-2017",1000,"N.A.","N.A.","N.A.","4.00%","BSE 100","Jan 01, 2013","1.8","4.1","12.4","34.6","27.7","13.0","16.9","11","17","7","7","5","7","9","15.4","-3.1","3.7","5.2","-8.8","3.5","7.7","-3.9","20.4","0.9","6.1","6.7","-3.3","5.1","-1.9","7.5","-7.0","-0.7","9.1","10.0","39.1","6.0","-1.4","45.4","1.4","39.67 (Jan 15, 18)","28.84 (Jan 20, 17)","HDFC Bank","Reliance","L&T Finance","Britannia","ICICI Bank","Sheela Foam","Infosys","IndusInd Bank","SBI","Shree Cements","Banking/Finance","Oil & Gas","Banking/Finance","Food & Beverage","Banking/Finance","Miscellaneous","Technology","Banking/Finance","Banking/Finance","Cement","14.83","8.29","7.77","7.71","6.77","6.56","5.86","5.82","5.77","5.71","6.55","3.66","3.43","3.40","2.99","2.89","2.59","2.57","2.55","2.52",93.28,0,0.9,"N.A",0,5.81,"20.03","33.15","46.72","Banking/Finance","Oil & Gas","Engineering","Cement","Automotive","Technology","28.38","9.73","8.61","7.19","6.44","5.48","25.76","9.96","7.34","10.33","8.11","8.19","25.76","9.96","7.34","10.33","8.11","8.19","Dec-17","6.5","Sep-17","5.3","Jun-17","4.5","Mar-17","3.8","Dec-16","3.3","Sep-16","3.1","Jun-16","2.7","Mar-16","4.6","Dec-15","2.3","Sep-15","2.1","Jun-15","1.8","Mar-15","1.6","Dec-14","1.2","Sep-14","1.0","Jun-14","0.7","Mar-14","0.4","Dec-13","0.3","Sep-13","0.2","Jun-13","0.1","Mar-13","0.0","MODERATELY HIGH"
"UTI CCP Advantage Fund (G) ","UTI Mutual Fund","Equity Oriented Hybrid Speciality Funds","Open-Ended","Growth","226.5 Nov-30-2017",1000,"N.A.","N.A.","N.A.","4.00%","BSE 100","Feb 17, 2004","1.7","3.9","11.9","33.5","26.8","12.3","16.2","13","18","8","9","7","9","11","15.2","-3.2","3.6","5.0","-8.4","3.3","7.5","-4.0","20.3","0.8","5.9","6.6","-3.5","5.0","-2.0","7.3","-7.1","-0.8","9.0","9.9","38.0","5.3","-2.0","44.7","1.5","38.51 (Jan 15, 18)","28.22 (Jan 20, 17)","HDFC Bank","Reliance","L&T Finance","Britannia","ICICI Bank","Sheela Foam","Infosys","IndusInd Bank","SBI","Shree Cements","Banking/Finance","Oil & Gas","Banking/Finance","Food & Beverage","Banking/Finance","Miscellaneous","Technology","Banking/Finance","Banking/Finance","Cement","14.83","8.29","7.77","7.71","6.77","6.56","5.86","5.82","5.77","5.71","6.55","3.66","3.43","3.40","2.99","2.89","2.59","2.57","2.55","2.52",93.28,0,0.9,"N.A",0,5.81,"20.03","33.15","46.72","Banking/Finance","Oil & Gas","Engineering","Cement","Automotive","Technology","28.38","9.73","8.61","7.19","6.44","5.48","25.76","9.96","7.34","10.33","8.11","8.19","25.76","9.96","7.34","10.33","8.11","8.19","Dec-17","216.5","Sep-17","189.3","Jun-17","170.9","Mar-17","152.9","Dec-16","142.7","Sep-16","143.2","Jun-16","129.6","Mar-16","234.5","Dec-15","126.5","Sep-15","127.3","Jun-15","126.6","Mar-15","127.3","Dec-14","117.3","Sep-14","108.3","Jun-14","96.6","Mar-14","83.4","Dec-13","82.7","Sep-13","76.7","Jun-13","80.2","Mar-13","83.3","MODERATELY HIGH"
"UTI Childrens Career Balanced Fund - Direct Plan ","UTI Mutual Fund","Debt Oriented Hybrid Speciality Funds","Open-Ended","Dividend","3,810.2 Nov-30-2017",1000,"N.A.","1:10","N.A.","3.00%","","Jan 01, 2013","1.5","3.6","5.1","13.9","15.2","10.2","13.5","9","5","12","7","6","8","5","5.4","-0.5","3.2","5.5","-1.8","2.1","5.7","-0.4","10.5","2.1","1.6","5.7","1.5","5.4","-2.6","4.1","-1.8","0.8","6.2","7.4","14.9","10.6","6.4","30.7","5.7","23.19 (Jan 09, 18)","20.25 (Jan 20, 17)","NCD RELIGARE FINVEST LTD.","NCD RELIANCE PORTS & TERMINALS LTD.","HDFC BANK LTD.","NCD SREI EQUIPMENT FINANCE LTD.","RELIANCE INDUSTRIES LTD.","NCD TATA MOTORS LTD.","NCD RELIANCE UTILITIES & POWER PVT LTD.","ESSEL PROPACK LTD","NCD Mahindra & Mahindra Financial Services","CHOLAMANDALAM INVESTMENT & FINANCE COMPANY LTD","FITCH-A","CRISIL-AAA","","CARE-AA-","","ICRA-AA","CRISIL-AAA","","CARE-AAA","","149.54","139.10","96.39","80.06","66.35","62.80","58.96","53.23","52.16","51.65","3.92","3.65","2.53","2.10","1.74","1.65","1.55","1.40","1.37","1.36",39.79,0,47.01,"0.02",8.88,4.33,"13.94","21.27","16.86","Banking/Finance","Automotive","Cement","Pharmaceuticals","Miscellaneous","Engineering","7.69","5.71","3.46","3.33","3.28","3.02","5.50","6.88","4.66","3.95","2.82","2.13","5.50","6.88","4.66","3.95","2.82","2.13","Dec-17","42.2","Sep-17","39.7","Jun-17","37.0","Mar-17","33.7","Dec-16","31.3","Sep-16","29.5","Jun-16","26.3","Mar-16","23.4","Dec-15","22.8","Sep-15","21.5","Jun-15","18.4","Mar-15","11.3","Dec-14","9.8","Sep-14","8.2","Jun-14","6.6","Mar-14","4.7","Dec-13","3.3","Sep-13","2.3","Jun-13","1.4","Mar-13","0.3","MODERATE"
"UTI Childrens Career Balanced Plan ","UTI Mutual Fund","Debt Oriented Hybrid Speciality Funds","Open-Ended","Dividend","3,810.2 Nov-30-2017",1000,"N.A.","1:10","N.A.","3.00%","","Jul 12, 1993","2.0","3.7","5.1","14.1","14.7","10.1","13.5","10","5","14","8","7","11","6","5.3","-0.5","3.2","5.4","-1.6","2.1","5.7","-0.4","10.5","2.1","1.5","5.7","1.5","5.4","-2.6","4.0","-1.8","0.7","6.2","7.4","14.7","10.4","6.3","30.6","5.8","23.04 (Jan 09, 18)","20.16 (Jan 20, 17)","NCD RELIGARE FINVEST LTD.","NCD RELIANCE PORTS & TERMINALS LTD.","HDFC BANK LTD.","NCD SREI EQUIPMENT FINANCE LTD.","RELIANCE INDUSTRIES LTD.","NCD TATA MOTORS LTD.","NCD RELIANCE UTILITIES & POWER PVT LTD.","ESSEL PROPACK LTD","NCD Mahindra & Mahindra Financial Services","CHOLAMANDALAM INVESTMENT & FINANCE COMPANY LTD","FITCH-A","CRISIL-AAA","","CARE-AA-","","ICRA-AA","CRISIL-AAA","","CARE-AAA","","149.54","139.10","96.39","80.06","66.35","62.80","58.96","53.23","52.16","51.65","3.92","3.65","2.53","2.10","1.74","1.65","1.55","1.40","1.37","1.36",39.79,0,47.01,"0.02",8.88,4.33,"13.94","21.27","16.86","Banking/Finance","Automotive","Cement","Pharmaceuticals","Miscellaneous","Engineering","7.69","5.71","3.46","3.33","3.28","3.02","5.50","6.88","4.66","3.95","2.82","2.13","5.50","6.88","4.66","3.95","2.82","2.13","Dec-17","3,759.4","Sep-17","3,728.8","Jun-17","3,684.6","Mar-17","3,568.2","Dec-16","3,518.9","Sep-16","3,498.2","Jun-16","3,335.1","Mar-16","3,228.0","Dec-15","3,347.8","Sep-15","3,379.6","Jun-15","3,378.0","Mar-15","3,462.1","Dec-14","3,318.8","Sep-14","3,173.3","Jun-14","3,009.9","Mar-14","2,823.5","Dec-13","2,782.5","Sep-13","2,722.3","Jun-13","2,869.4","Mar-13","2,910.8","MODERATE"
"UTI CRTS 81- Direct Plan (G) ","UTI Mutual Fund","Debt Oriented Hybrid Speciality Funds","Open-Ended","Growth","703.0 Nov-30-2017",10000,"N.A.","N.A.","N.A.","N.A.","","Jan 01, 2013","1.5","2.6","4.4","12.0","13.2","9.3","11.4","13","10","20","11","10","13","9","4.5","-0.1","2.8","4.2","-0.9","2.4","4.5","-0.7","8.3","1.7","1.6","4.5","1.8","3.3","0.2","2.9","-0.2","0.3","3.8","4.7","12.5","10.2","5.5","21.8","6.9","362.94 (Jan 17, 18)","323.85 (Jan 20, 17)","NCD INDIAN HOTELS COMPANY LTD.","NCD BHARAT ALUMINIUM COMPANY LTD","NCD IDEA CELLULAR LTD.","NCD HDFC BANK LTD.","NCD PUNJAB NATIONAL BANK","NCD TATA SONS LTD.","NCD PIRAMAL ENTERPRISES LTD.","NCD RELIANCE PORTS & TERMINALS LTD.","NCD POWER GRID CORPORATION OF INDIA LTD","NCD RELIANCE JIO INFOCOMM LTD","CARE-AA+","ICRA-AA-","CARE-AA+","CRISIL-AA+","FITCH-AA+","CRISIL-AAA","ICRA-AA","CRISIL-AAA","CRISIL-AAA","CRISIL-AAA","39.88","39.65","39.54","25.29","25.20","25.07","25.03","24.84","15.98","15.95","5.67","5.64","5.62","3.60","3.58","3.57","3.56","3.53","2.27","2.27",26.95,0,53.21,"N.A",14.41,5.37,"24.11","39.31","12.44","Banking/Finance","Technology","Pharmaceuticals","Oil & Gas","Automotive","Utilities","6.10","3.45","2.89","2.24","2.12","1.41","7.52","3.27","3.36","2.09","2.12","0.78","7.52","3.27","3.36","2.09","2.12","0.78","Dec-17","73.7","Sep-17","64.4","Jun-17","58.3","Mar-17","50.9","Dec-16","46.5","Sep-16","35.9","Jun-16","24.0","Mar-16","39.4","Dec-15","15.1","Sep-15","12.9","Jun-15","11.4","Mar-15","9.8","Dec-14","8.9","Sep-14","8.4","Jun-14","7.6","Mar-14","7.2","Dec-13","3.3","Sep-13","1.3","Jun-13","1.2","Mar-13","0.9","MODERATE"
"UTI CRTS 81 (G) ","UTI Mutual Fund","Debt Oriented Hybrid Speciality Funds","Open-Ended","Growth","703.0 Nov-30-2017",10000,"N.A.","N.A.","N.A.","N.A.","","Oct 01, 1981","1.1","2.3","4.0","10.8","12.7","8.7","10.9","14","13","21","14","14","15","11","4.3","-0.2","2.7","4.2","-0.4","2.3","4.4","-0.8","8.2","1.6","1.4","4.4","1.7","3.2","0.1","2.7","-0.4","0.2","3.7","4.7","11.8","9.8","5.0","21.4","7.1","354.94 (Jan 17, 18)","318.89 (Jan 20, 17)","NCD INDIAN HOTELS COMPANY LTD.","NCD BHARAT ALUMINIUM COMPANY LTD","NCD IDEA CELLULAR LTD.","NCD HDFC BANK LTD.","NCD PUNJAB NATIONAL BANK","NCD TATA SONS LTD.","NCD PIRAMAL ENTERPRISES LTD.","NCD RELIANCE PORTS & TERMINALS LTD.","NCD POWER GRID CORPORATION OF INDIA LTD","NCD RELIANCE JIO INFOCOMM LTD","CARE-AA+","ICRA-AA-","CARE-AA+","CRISIL-AA+","FITCH-AA+","CRISIL-AAA","ICRA-AA","CRISIL-AAA","CRISIL-AAA","CRISIL-AAA","39.88","39.65","39.54","25.29","25.20","25.07","25.03","24.84","15.98","15.95","5.67","5.64","5.62","3.60","3.58","3.57","3.56","3.53","2.27","2.27",26.95,0,53.21,"N.A",14.41,5.37,"24.11","39.31","12.44","Banking/Finance","Technology","Pharmaceuticals","Oil & Gas","Automotive","Utilities","6.10","3.45","2.89","2.24","2.12","1.41","7.52","3.27","3.36","2.09","2.12","0.78","7.52","3.27","3.36","2.09","2.12","0.78","Dec-17","616.5","Sep-17","563.8","Jun-17","512.3","Mar-17","468.3","Dec-16","453.3","Sep-16","442.8","Jun-16","431.6","Mar-16","603.0","Dec-15","423.4","Sep-15","412.8","Jun-15","412.6","Mar-15","401.5","Dec-14","377.7","Sep-14","350.7","Jun-14","341.6","Mar-14","325.4","Dec-13","335.0","Sep-13","329.5","Jun-13","344.4","Mar-13","340.5","MODERATE"
"UTI Dividend Yield Fund - Direct Plan (G) ","UTI Mutual Fund","Diversified Equity","Open-Ended","Growth","2,757.3 Nov-30-2017",5000,"N.A.","N.A.","N.A.","1.00%","","Jan 01, 2013","4.2","7.3","11.4","27.5","24.2","9.8","13.5","51","113","133","141","128","156","117","12.7","-3.3","-0.1","6.6","-7.8","2.5","7.0","-4.2","18.9","-","1.5","5.2","-2.9","4.1","-3.7","7.9","-5.1","0.1","7.5","9.8","29.2","6.4","-4.7","42.2","-0.6","66.98 (Jan 17, 18)","51.98 (Jan 20, 17)","Infosys","ICICI Bank","ITC","MphasiS","Tech Mahindra","GAIL","Hind Zinc","TCS","GE Shipping","Mahanagar Gas","Technology","Banking/Finance","Tobacco","Technology","Technology","Oil & Gas","Metals & Mining","Technology","Services","Oil & Gas","218.74","155.01","118.68","104.10","100.39","96.21","92.20","87.81","74.70","72.83","7.93","5.62","4.30","3.78","3.64","3.49","3.34","3.18","2.71","2.64",99.21,0.09,0.55,"N.A",0,0.14,"25.27","40.63","47.69","Technology","Oil & Gas","Banking/Finance","Metals & Mining","Chemicals","Utilities","20.93","14.48","12.28","8.86","7.03","5.74","14.57","12.11","25.56","2.52","6.73","3.09","14.57","12.11","25.56","2.52","6.73","3.09","Dec-17","63.4","Sep-17","59.8","Jun-17","58.0","Mar-17","53.3","Dec-16","50.5","Sep-16","51.6","Jun-16","47.9","Mar-16","67.7","Dec-15","48.7","Sep-15","46.8","Jun-15","46.4","Mar-15","51.3","Dec-14","54.8","Sep-14","51.8","Jun-14","45.0","Mar-14","37.5","Dec-13","33.9","Sep-13","28.2","Jun-13","15.9","Mar-13","5.8","MODERATELY LOW"
"UTI Dividend Yield Fund (G) ","UTI Mutual Fund","Diversified Equity","Open-Ended","Growth","2,757.3 Nov-30-2017",5000,"N.A.","N.A.","N.A.","1.00%","","May 03, 2005","4.1","7.1","11.1","26.7","23.5","9.1","12.8","54","122","138","155","142","166","124","12.5","-3.5","-0.3","6.4","-7.2","2.4","6.8","-4.3","18.7","-0.2","1.3","5.0","-3.0","3.9","-3.8","7.7","-5.2","-0.1","7.3","9.7","28.4","5.7","-5.3","41.3","-0.5","64.91 (Jan 17, 18)","50.69 (Jan 20, 17)","Infosys","ICICI Bank","ITC","MphasiS","Tech Mahindra","GAIL","Hind Zinc","TCS","GE Shipping","Mahanagar Gas","Technology","Banking/Finance","Tobacco","Technology","Technology","Oil & Gas","Metals & Mining","Technology","Services","Oil & Gas","218.74","155.01","118.68","104.10","100.39","96.21","92.20","87.81","74.70","72.83","7.93","5.62","4.30","3.78","3.64","3.49","3.34","3.18","2.71","2.64",99.21,0.09,0.55,"N.A",0,0.14,"25.27","40.63","47.69","Technology","Oil & Gas","Banking/Finance","Metals & Mining","Chemicals","Utilities","20.93","14.48","12.28","8.86","7.03","5.74","14.57","12.11","25.56","2.52","6.73","3.09","14.57","12.11","25.56","2.52","6.73","3.09","Dec-17","2,697.1","Sep-17","2,662.0","Jun-17","2,710.2","Mar-17","2,610.8","Dec-16","2,563.1","Sep-16","2,662.3","Jun-16","2,575.0","Mar-16","3,430.4","Dec-15","2,779.7","Sep-15","2,910.2","Jun-15","3,015.0","Mar-15","3,210.0","Dec-14","3,221.0","Sep-14","3,126.9","Jun-14","2,998.7","Mar-14","2,815.5","Dec-13","2,942.4","Sep-13","2,938.3","Jun-13","3,268.8","Mar-13","3,505.3","MODERATELY LOW"
"UTI Dynamic Bond Fund - Direct Plan (G) ","UTI Mutual Fund","Debt Long Term","Open-Ended","Growth","1,880.3 Nov-30-2017",10000,"N.A.","N.A.","N.A.","N.A.","","Jan 01, 2013","-0.8","-1.1","-0.3","4.1","10.2","8.8","10.0","109","93","81","51","17","11","8","0.9","1.7","2.6","2.7","2.0","3.1","2.4","-0.2","4.3","2.3","1.6","5.6","4.3","2.0","0.6","-1.1","3.9","0.3","5.3","2.3","4.2","15.5","7.5","15.3","7.7","20.62 (Nov 20, 17)","19.31 (Feb 09, 17)","NCD RURAL ELECTRIFICATION CORPORATION LTD.","NCD RELIANCE UTILITIES & POWER PVT LTD.","NCD Dewan Housing Finance Corporation","NCD IDEA CELLULAR LTD.","NCD SYNDICATE BANK","NCD PUNJAB NATIONAL BANK","NCD U P POWER CORPORATION LTD","NCD U P POWER CORPORATION LTD","NCD U P POWER CORPORATION LTD","NCD U P POWER CORPORATION LTD","CRISIL-AAA","CRISIL-AAA","CARE-AAA","CARE-AA+","CARE-AA-","FITCH-AA+","FITCH-AA(SO)","FITCH-AA(SO)","FITCH-AA(SO)","FITCH-AA(SO)","150.00","103.16","61.59","59.32","25.55","25.20","10.47","10.46","10.30","10.34","7.98","5.49","3.28","3.15","1.36","1.34","0.56","0.56","0.55","0.55",0,0,26.9,"N.A",65.82,7.28,"21.26","24.82","N.A.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","418.2","Sep-17","400.9","Jun-17","390.0","Mar-17","347.2","Dec-16","295.9","Sep-16","266.1","Jun-16","276.0","Mar-16","560.8","Dec-15","261.2","Sep-15","230.2","Jun-15","221.6","Mar-15","204.6","Dec-14","129.0","Sep-14","112.3","Jun-14","138.3","Mar-14","205.6","Dec-13","312.8","Sep-13","524.9","Jun-13","287.3","Mar-13","173.7","MODERATE"
"UTI Dynamic Bond Fund (G) ","UTI Mutual Fund","Debt Long Term","Open-Ended","Growth","1,880.3 Nov-30-2017",10000,"N.A.","N.A.","N.A.","N.A.","","Jun 23, 2010","-0.9","-1.3","-0.7","3.3","9.3","8.1","9.3","117","101","95","70","33","30","17","0.7","1.5","2.4","2.6","1.9","2.9","2.2","-0.3","4.2","2.2","1.4","5.4","4.2","1.8","0.4","-1.3","3.7","0.2","5.1","2.1","3.4","14.6","6.9","14.7","7.2","20.02 (Sep 06, 17)","18.85 (Feb 09, 17)","NCD RURAL ELECTRIFICATION CORPORATION LTD.","NCD RELIANCE UTILITIES & POWER PVT LTD.","NCD Dewan Housing Finance Corporation","NCD IDEA CELLULAR LTD.","NCD SYNDICATE BANK","NCD PUNJAB NATIONAL BANK","NCD U P POWER CORPORATION LTD","NCD U P POWER CORPORATION LTD","NCD U P POWER CORPORATION LTD","NCD U P POWER CORPORATION LTD","CRISIL-AAA","CRISIL-AAA","CARE-AAA","CARE-AA+","CARE-AA-","FITCH-AA+","FITCH-AA(SO)","FITCH-AA(SO)","FITCH-AA(SO)","FITCH-AA(SO)","150.00","103.16","61.59","59.32","25.55","25.20","10.47","10.46","10.30","10.34","7.98","5.49","3.28","3.15","1.36","1.34","0.56","0.56","0.55","0.55",0,0,26.9,"N.A",65.82,7.28,"21.26","24.82","N.A.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","1,351.3","Sep-17","1,214.1","Jun-17","1,136.1","Mar-17","1,053.1","Dec-16","901.2","Sep-16","801.4","Jun-16","712.5","Mar-16","1,262.7","Dec-15","563.1","Sep-15","470.8","Jun-15","459.1","Mar-15","416.8","Dec-14","302.6","Sep-14","277.2","Jun-14","270.4","Mar-14","293.2","Dec-13","392.9","Sep-13","445.7","Jun-13","642.2","Mar-13","740.5","MODERATE"
