"Plan_name","fund_family","fund_class","fund_type","investment_plan","asset_size","minimum_investment","last_divident","bonus","entry_load","exit_load","benchmark","launch_date","performance_returns_1_mth","performance_r16urns_3_mth","performance_returns_6_mth","performance_returns_1_year","performance_returns_2_year","performance_returns_3_year","performance_returns_5_year","performance_r15k_1_mth","performance_rank_3_mth","performance_rank_6_mth","performance_rank_1_year","performance_rank_2_year","performance_rank_3_year","performance_r14k_5_year","performance_absolute_returns_2017_Qtr1","performance_absolute_returns_2016_Qtr1","performance_absolute_returns_2015_Qtr1","performance_absolute_returns_2014_Qtr1","performance_absolute_returns_2013_Qtr1","performance_a13olute_returns_2017_Qtr2","performance_absolute_returns_2016_Qtr2","performance_absolute_returns_2015_Qtr2","performance_absolute_returns_2014_Qtr2","performance_absolute_returns_2013_Qtr2","performance_absolute_returns_2017_Qtr3","performance_a12olute_returns_2016_Qtr3","performance_absolute_returns_2015_Qtr3","performance_absolute_returns_2014_Qtr3","performance_absolute_returns_2013_Qtr3","performance_absolute_returns_2017_Qtr4","performance_absolute_returns_2016_Qtr4","performance_ab11lute_returns_2015_Qtr4","performance_absolute_returns_2014_Qtr4","performance_absolute_returns_2013_Qtr4","performance_absolute_returns_2017_annual","performance_absolute_returns_2016_annual","performance_absolute_returns_2015_annual","performance_ab10lute_returns_2014_annual","performance_absolute_returns_2013_annual","nav_52_week_high","nav_52_week_low","portfolio_equity_1","portfolio_equity_2","portfolio_equity_3","portfolio_equity_4","portfolio_equity_5","portfolio_equity_6","portfolio_equity_7","portfolio_equity_8","portfolio_equity_9","portfolio_equity_10","portfolio_sector_1","portfolio_sector_2","portfolio_sector_3","portfolio_sector_4","portfolio_sector_5","portfolio_sector_6","portfolio_sector_7","portfolio_sector_8","portfolio_sector_9","portfolio_sector_10","portfolio_value_1","portfolio_value_2","portfolio_value_3","portfolio_value_4","portfolio_value_5","portfolio_value_6","portfolio_value_7","portfolio_value_8","portfolio_value_9","portfolio_value_10","portfolio_asset_1","portfolio_asset_2","portfolio_asset_3","portfolio_asset_4","portfolio_asset_5","portfolio_asset_6","portfolio_asset_7","portfolio_asset_8","portfolio_asset_9","portfolio_asset_10","portfolio_asset_allocation_eqity","portfolio_asset_allocation_others","portfolio_asset_allocation_debt","portfolio_asset_allocation_mutual_funds","portfolio_asset_allocation_money_market","portfolio_asset_allocation_cash_call","portfolio_conc1tration_holding_top5","portfolio_concentration_holding_top10","portfolio_concentration_sector_top3","portfolio_sector_right_bottom_1","portfolio_sector_right_bottom_2","portfolio_sector_right_bottom_3","portfolio_sector_right_bottom_4","portfolio_sector_right_bottom_5","portfolio_sector_right_bottom_6","portfolio_sector_percentage_right_bottom_1","portfolio_sector_percentage_right_bottom_2","portfolio_sector_percentage_right_bottom_3","portfolio_sector_percentage_right_bottom_4","portfolio_sector_percentage_right_bottom_5","portfolio_sector_percentage_right_bottom_6","portfolio_sector_high_right_bottom_1","portfolio_sector_high_right_bottom_2","portfolio_sector_high_right_bottom_3","portfolio_sector_high_right_bottom_4","portfolio_sector_high_right_bottom_5","portfolio_sector_high_right_bottom_6","portfolio_sector_low_right_bottom_1","portfolio_sector_low_right_bottom_2","portfolio_sector_low_right_bottom_3","portfolio_sector_low_right_bottom_4","portfolio_sector_low_right_bottom_5","portfolio_sector_low_right_bottom_6","asset_size_1date","asset_size_1value","asset_size_2date","asset_size_2value","asset_size_3date","asset_size_3value","asset_size_4date","asset_size_4value","asset_size_5date","asset_size_5value","asset_size_6date","asset_size_6value","asset_size_7date","asset_size_7value","asset_size_8date","asset_size_8value","asset_size_9date","asset_size_9value","asset_size_10date","asset_size_10value","asset_size_11date","asset_size_11value","asset_size_12date","asset_size_12value","asset_size_13date","asset_size_13value","asset_size_14date","asset_size_14value","asset_size_15date","asset_size_15value","asset_size_16date","asset_size_16value","asset_size_17date","asset_size_17value","asset_size_18date","asset_size_18value","asset_size_19date","asset_size_19value","asset_size_20date","asset_size_20value","riskometer.x","riskometer.y","riskometer"
"ICICI Prudential Indo Asia Equity Fund - Institutional Plan (G) ","ICICI Prudential Mutual Fund","Diversified Equity","Open-Ended","Growth","Dec-29-2017",50000000,"N.A.","N.A.","N.A.","N.A.","S&P CNX Nifty","Jan 09, 0007","4.3","13.3","15.1","37.6","28.9","14.9","19.6","36","18","33","28","64","60","51","15.6","-6.1","3.9","8.3","-4.6","2.7","8.6","-0.7","20.3","-1.0","0.8","10.8","-7.7","6.2","3.6","15.9","-7.9","3.0","9.4","8.2","42.1","6.5","0.5","52.2","7.6","30.76 (Jan 17, 18)","21.97 (Jan 17, 17)","ICICI Bank","SBI","PNC Infratech","JK Lakshmi Cem","Tata Chemicals","HDFC","KNR Construct","Brigade Ent","Cummins","Cipla","Banking/Finance","Banking/Finance","Real Estate","Cement","Chemicals","Banking/Finance","Cement","Real Estate","Engineering","Pharmaceuticals","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","8.34","7.77","5.85","5.51","5.34","5.21","5.18","5.10","4.82","4.78",83.13,10.57,0,"2.45",0,3.84,"32.81","57.90","46.50","Banking/Finance","Cement","Real Estate","Chemicals","Pharmaceuticals","Engineering","21.32","14.23","10.95","9.93","9.44","4.82","7.76","12.06","4.11","10.87","11.49","0.00","7.76","12.06","4.11","10.87","11.49","0.00","Dec-17","0.0","Sep-17","0.0","Jun-17","0.0","Mar-17","0.0","Dec-16","0.0","Sep-16","0.0","Jun-16","0.0","Mar-16","0.0","Dec-15","0.0","Sep-15","0.0","Jun-15","0.0","Mar-15","0.0","Dec-14","0.0","Sep-14","0.0","Jun-14","0.9","Mar-14","3.6","Dec-13","3.6","Sep-13","3.4","Jun-13","3.5","Mar-13","3.7","MODERATELY HIGH","MODERATELY HIGH","MODERATELY HIGH"
"ICICI Prudential Indo Asia Equity Fund - Retail Plan (G) ","ICICI Prudential Mutual Fund","Diversified Equity","Open-Ended","Growth","Dec-29-2017",5000,"N.A.","N.A.","N.A.","1.00%","S&P CNX Nifty","Jan 09, 0007","4.3","13.3","15.2","37.6","28.9","14.9","19.6","36","18","32","27","63","60","51","15.6","-6.1","3.9","8.2","-5.3","2.7","8.6","-0.6","20.4","-1.0","0.8","10.8","-7.7","6.2","3.6","15.9","-7.9","2.9","9.4","8.2","42.1","6.5","0.5","52.1","6.9","30.76 (Jan 17, 18)","21.96 (Jan 17, 17)","ICICI Bank","SBI","PNC Infratech","JK Lakshmi Cem","Tata Chemicals","HDFC","KNR Construct","Brigade Ent","Cummins","Cipla","Banking/Finance","Banking/Finance","Real Estate","Cement","Chemicals","Banking/Finance","Cement","Real Estate","Engineering","Pharmaceuticals","14.17","13.21","9.94","9.36","9.08","8.85","8.80","8.67","8.19","8.12","8.34","7.77","5.85","5.51","5.34","5.21","5.18","5.10","4.82","4.78",83.13,10.57,0,"2.45",0,3.84,"32.81","57.90","46.50","Banking/Finance","Cement","Real Estate","Chemicals","Pharmaceuticals","Engineering","21.32","14.23","10.95","9.93","9.44","4.82","7.76","12.06","4.11","10.87","11.49","0.00","7.76","12.06","4.11","10.87","11.49","0.00","Dec-17","170.0","Sep-17","157.5","Jun-17","153.5","Mar-17","137.7","Dec-16","132.4","Sep-16","134.1","Jun-16","122.8","Mar-16","158.3","Dec-15","135.2","Sep-15","141.4","Jun-15","148.4","Mar-15","149.3","Dec-14","144.6","Sep-14","143.1","Jun-14","132.1","Mar-14","121.9","Dec-13","128.9","Sep-13","128.0","Jun-13","136.1","Mar-13","149.8","MODERATELY HIGH","MODERATELY HIGH","MODERATELY HIGH"
"ICICI Prudential Infrastructure Fund - Direct Plan (G) ","ICICI Prudential Mutual Fund","Thematic - Infrastructure","Open-Ended","Growth","Dec-29-2017",5000,"N.A.","N.A.","N.A.","1.00%","","Jan 01, 2013","3.8","12.6","15.1","34.3","29.1","11.6","16.0","21","14","28","44","36","44","36","15.3","-11.2","1.5","7.8","-13.6","2.4","12.6","-1.9","34.1","-4.2","1.7","2.2","-6.8","-3.5","-5.1","15.2","-3.7","1.1","11.1","15.5","40.5","1.7","-3.3","56.1","-7.2","60.16 (Jan 15, 18)","43.79 (Jan 20, 17)","ICICI Bank","Larsen","Bharti Airtel","KNR Construct","SBI","GAIL","Tata Power","ONGC","NTPC","Power Grid Corp","Banking/Finance","Engineering","Telecom","Cement","Banking/Finance","Oil & Gas","Utilities","Oil & Gas","Utilities","Utilities","13.98","13.27","8.05","6.88","6.53","6.35","6.28","6.00","5.76","5.71","8.01","7.60","4.61","3.94","3.74","3.64","3.60","3.44","3.30","3.27",97.35,0,0,"N.A",0,2.69,"27.90","45.15","47.79","Engineering","Banking/Finance","Utilities","Cement","Oil & Gas","Services","18.73","17.49","11.57","10.88","9.43","8.98","15.44","5.66","21.55","14.04","1.41","8.67","15.44","5.66","21.55","14.04","1.41","8.67","Dec-17","174.5","Sep-17","160.4","Jun-17","147.6","Mar-17","106.7","Dec-16","75.5","Sep-16","60.6","Jun-16","60.4","Mar-16","43.3","Dec-15","43.1","Sep-15","42.9","Jun-15","43.1","Mar-15","42.8","Dec-14","38.5","Sep-14","37.0","Jun-14","16.0","Mar-14","5.2","Dec-13","4.3","Sep-13","3.3","Jun-13","3.5","Mar-13","2.4","HIGH","HIGH","HIGH"
"ICICI Prudential Infrastructure Fund - Institutional Plan (G) ","ICICI Prudential Mutual Fund","Thematic - Infrastructure","Open-Ended","Growth","Dec-29-2017",200000000,"N.A.","N.A.","N.A.","N.A.","","Mar 13, 2008","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.00 ()","0.00 ()","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,0,0,"N.A",0,0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","HIGH","HIGH","HIGH"
"ICICI Prudential Infrastructure Fund - Retail Plan (G) ","ICICI Prudential Mutual Fund","Thematic - Infrastructure","Open-Ended","Growth","Dec-29-2017",5000,"N.A.","N.A.","N.A.","1.00%","","Aug 16, 2005","3.7","12.4","14.6","33.1","28.1","10.8","15.1","24","16","31","49","43","49","46","15.1","-11.3","1.3","7.6","-12.2","2.2","12.4","-2.1","33.8","-4.3","1.5","2.0","-6.9","-3.7","-5.3","14.9","-3.9","1.0","10.9","15.3","39.3","1.1","-3.9","55.1","-6.1","58.17 (Jan 15, 18)","42.70 (Jan 20, 17)","ICICI Bank","Larsen","Bharti Airtel","KNR Construct","SBI","GAIL","Tata Power","ONGC","NTPC","Power Grid Corp","Banking/Finance","Engineering","Telecom","Cement","Banking/Finance","Oil & Gas","Utilities","Oil & Gas","Utilities","Utilities","123.61","117.29","71.14","60.80","57.72","56.17","55.56","53.09","50.93","50.46","8.01","7.60","4.61","3.94","3.74","3.64","3.60","3.44","3.30","3.27",97.35,0,0,"N.A",0,2.69,"27.90","45.15","47.79","Engineering","Banking/Finance","Utilities","Cement","Oil & Gas","Services","18.73","17.49","11.57","10.88","9.43","8.98","15.44","5.66","21.55","14.04","1.41","8.67","15.44","5.66","21.55","14.04","1.41","8.67","Dec-17","1,543.2","Sep-17","1,526.8","Jun-17","1,441.4","Mar-17","1,286.1","Dec-16","1,182.5","Sep-16","1,359.4","Jun-16","1,231.1","Mar-16","1,215.4","Dec-15","1,432.6","Sep-15","1,605.8","Jun-15","1,711.0","Mar-15","1,817.4","Dec-14","1,734.6","Sep-14","1,724.7","Jun-14","1,475.9","Mar-14","1,174.0","Dec-13","1,216.8","Sep-13","1,183.4","Jun-13","1,399.3","Mar-13","1,635.3","HIGH","HIGH","HIGH"
"ICICI Prudential Liquid - Institutional Plan (G) ","ICICI Prudential Mutual Fund","Liquid","Open-Ended","Growth","Dec-29-2017",500,"N.A.","N.A.","N.A.","N.A.","","Feb 24, 2003","0.5","1.5","3.0","6.1","6.6","7.0","7.5","121","118","120","124","121","119","118","1.5","1.9","1.9","2.0","1.8","1.5","1.8","1.9","2.0","1.9","1.5","1.6","1.8","1.9","2.0","1.4","1.5","1.7","1.9","2.1","6.1","7.2","7.7","8.1","8.3","401.20 (Jan 17, 18)","378.04 (Jan 18, 17)","Tata Capital Financial Services Ltd.","Tata Motors Finance Solutions Pvt. Ltd.","Indiabulls Housing Finance Ltd.","Tata Sons Ltd.","HDFC Ltd.","Shriram Transport Finance Company Ltd.","Kotak Mahindra Prime Ltd.","NABARD","NABARD","-","CRISIL AA+","CRISIL AA","CARE AAA","CRISIL AAA","CRISIL AAA","FITCH AA+","CRISIL AAA","CRISIL AAA","CRISIL AAA","-","0.01","0.01","0.01","0.00","0.00","0.00","0.00","0.00","0.00","-","1.08","0.92","0.42","0.37","0.28","0.15","0.15","0.07","0.06","-",0,0,3.5,"N.A",115.14,-18.68,"3.07","3.50","N.A.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Sep-17","1.4","Jun-17","1.4","Mar-17","1.4","Dec-16","1.4","Dec-16","495.1","Sep-16","1.3","Jun-16","1.3","Mar-16","1.3","Dec-15","1.3","Sep-15","1.5","Jun-15","1.7","Mar-15","2.1","Dec-14","2.7","Sep-14","3.1","Jun-14","15.3","Mar-14","18.2","Dec-13","18.5","Sep-13","19.9","Jun-13","21.1","Mar-13","26.8","LOW","LOW","LOW"
"ICICI Prudential Liquid Plan - Direct Plan (G) ","ICICI Prudential Mutual Fund","Liquid","Open-Ended","Growth","Dec-29-2017",500,"N.A.","N.A.","N.A.","N.A.","","Jan 01, 2013","0.6","1.6","3.3","6.7","7.2","7.6","8.3","15","46","56","31","27","25","15","1.6","2.0","2.1","2.2","1.9","1.6","1.9","2.0","2.2","2.1","1.6","1.8","2.0","2.2","2.3","1.6","1.6","1.9","2.2","2.4","6.6","7.7","8.4","9.1","9.1","253.39 (Jan 17, 18)","237.58 (Jan 18, 17)","Tata Capital Financial Services Ltd.","Tata Motors Finance Solutions Pvt. Ltd.","Indiabulls Housing Finance Ltd.","Tata Sons Ltd.","HDFC Ltd.","Shriram Transport Finance Company Ltd.","Kotak Mahindra Prime Ltd.","NABARD","NABARD","-","CRISIL AA+","CRISIL AA","CARE AAA","CRISIL AAA","CRISIL AAA","FITCH AA+","CRISIL AAA","CRISIL AAA","CRISIL AAA","-","231.13","196.89","89.88","79.18","59.92","32.10","32.10","14.98","12.84","-","1.08","0.92","0.42","0.37","0.28","0.15","0.15","0.07","0.06","-",0,0,3.5,"N.A",115.14,-18.68,"3.07","3.50","N.A.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Sep-17","21,159.4","Jun-17","20,866.5","Mar-17","20,528.9","Dec-16","20,012.7","Dec-16","967.7","Sep-16","20,598.9","Jun-16","17,623.7","Mar-16","13,752.0","Dec-15","12,425.1","Sep-15","13,558.6","Jun-15","13,558.3","Mar-15","12,801.7","Dec-14","11,276.3","Sep-14","12,572.3","Jun-14","13,470.0","Mar-14","12,258.4","Dec-13","10,291.6","Sep-13","5,603.0","Jun-13","8,539.8","Mar-13","6,467.7","LOW","LOW","LOW"
"ICICI Prudential Liquid Plan - Institutional Option - I  ","ICICI Prudential Mutual Fund","Liquid","Open-Ended","Dividend","Dec-29-2017",500,"N.A.","N.A.","N.A.","N.A.","","Mar 27, 2006","0.5","1.5","3.0","6.2","6.6","7.0","7.5","98","118","120","117","121","119","118","1.5","1.9","1.9","2.0","2.0","1.5","1.8","1.9","2.0","1.9","1.5","1.6","1.8","1.9","2.0","1.4","1.5","1.7","1.9","2.1","6.1","7.2","7.7","8.1","8.5","238.76 (Jan 17, 18)","224.94 (Jan 18, 17)","Tata Capital Financial Services Ltd.","Tata Motors Finance Solutions Pvt. Ltd.","Indiabulls Housing Finance Ltd.","Tata Sons Ltd.","HDFC Ltd.","Shriram Transport Finance Company Ltd.","Kotak Mahindra Prime Ltd.","NABARD","NABARD","-","CRISIL AA+","CRISIL AA","CARE AAA","CRISIL AAA","CRISIL AAA","FITCH AA+","CRISIL AAA","CRISIL AAA","CRISIL AAA","-","0.01","0.01","0.01","0.00","0.00","0.00","0.00","0.00","0.00","-","1.08","0.92","0.42","0.37","0.28","0.15","0.15","0.07","0.06","-",0,0,3.5,"N.A",115.14,-18.68,"3.07","3.50","N.A.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-16","224.1","Sep-15","0.3","Jun-15","1.7","Mar-15","1.7","Dec-14","1.6","Sep-14","1.6","Jun-14","1.7","Mar-14","1.8","Dec-13","1.9","Sep-13","1.8","Jun-13","1.8","Mar-13","1.9","LOW","LOW","LOW"
"ICICI Prudential Liquid Plan - Institutional Plus (G) ","ICICI Prudential Mutual Fund","Liquid","Open-Ended","Growth","Dec-29-2017",500,"N.A.","N.A.","N.A.","N.A.","","Sep 29, 2003","-","-","-","-","-","-","-","153","150","132","137","74","72","58","1.8","1.9","2.3","1.9","0.9","-","1.9","2.3","2.0","1.1","-","2.0","2.1","2.1","1.3","-","2.1","1.9","2.1","1.6","1.8","8.4","9.1","8.5","5.1","311.00 (Mar 26, 14)","0.00 ()","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,0,0,"N.A",0,0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Mar-14","5.9","Dec-13","6.8","Sep-13","7.9","Jun-13","8.9","Mar-13","17.9","LOW","LOW","LOW"
"ICICI Prudential Liquid Plan - Retail Plan (G) ","ICICI Prudential Mutual Fund","Liquid","Open-Ended","Growth","Dec-29-2017",500,"N.A.","N.A.","N.A.","N.A.","","Jun 19, 1998","0.5","1.5","3.0","6.1","6.6","7.0","7.5","121","118","120","124","121","119","118","1.5","1.9","1.9","2.0","1.8","1.5","1.8","1.9","2.0","1.9","1.5","1.6","1.8","1.9","2.0","1.4","1.5","1.7","1.9","2.1","6.1","7.2","7.7","8.1","8.2","391.18 (Jan 17, 18)","368.60 (Jan 18, 17)","Tata Capital Financial Services Ltd.","Tata Motors Finance Solutions Pvt. Ltd.","Indiabulls Housing Finance Ltd.","Tata Sons Ltd.","HDFC Ltd.","Shriram Transport Finance Company Ltd.","Kotak Mahindra Prime Ltd.","NABARD","NABARD","-","CRISIL AA+","CRISIL AA","CARE AAA","CRISIL AAA","CRISIL AAA","FITCH AA+","CRISIL AAA","CRISIL AAA","CRISIL AAA","-","0.36","0.31","0.14","0.12","0.09","0.05","0.05","0.02","0.02","-","1.08","0.92","0.42","0.37","0.28","0.15","0.15","0.07","0.06","-",0,0,3.5,"N.A",115.14,-18.68,"3.07","3.50","N.A.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Sep-17","49.1","Jun-17","50.4","Mar-17","51.1","Dec-16","51.6","Dec-16","912.3","Sep-16","53.4","Jun-16","52.5","Mar-16","53.1","Dec-15","53.8","Sep-15","56.0","Jun-15","60.5","Mar-15","64.7","Dec-14","69.2","Sep-14","75.0","Jun-14","85.4","Mar-14","93.9","Dec-13","99.7","Sep-13","108.3","Jun-13","125.3","Mar-13","155.2","LOW","LOW","LOW"
"ICICI Prudential Liquid Plan (G) ","ICICI Prudential Mutual Fund","Liquid","Open-Ended","Growth","Dec-29-2017",500,"N.A.","N.A.","N.A.","N.A.","","Nov 17, 2005","0.5","1.6","3.2","6.6","7.1","7.5","8.2","81","93","56","78","65","58","33","1.6","2.0","2.1","2.2","2.0","1.6","1.9","2.0","2.2","2.1","1.6","1.8","2.0","2.1","2.3","1.5","1.6","1.9","2.1","2.4","6.6","7.6","8.3","9.1","9.3","252.69 (Jan 17, 18)","237.05 (Jan 18, 17)","Tata Capital Financial Services Ltd.","Tata Motors Finance Solutions Pvt. Ltd.","Indiabulls Housing Finance Ltd.","Tata Sons Ltd.","HDFC Ltd.","Shriram Transport Finance Company Ltd.","Kotak Mahindra Prime Ltd.","NABARD","NABARD","-","CRISIL AA+","CRISIL AA","CARE AAA","CRISIL AAA","CRISIL AAA","FITCH AA+","CRISIL AAA","CRISIL AAA","CRISIL AAA","-","115.28","98.21","44.83","39.50","29.89","16.01","16.01","7.47","6.40","-","1.08","0.92","0.42","0.37","0.28","0.15","0.15","0.07","0.06","-",0,0,3.5,"N.A",115.14,-18.68,"3.07","3.50","N.A.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Sep-17","11,832.1","Jun-17","13,961.3","Mar-17","13,082.7","Dec-16","11,652.2","Dec-16","757.9","Sep-16","13,643.2","Jun-16","12,563.4","Mar-16","12,090.1","Dec-15","10,885.5","Sep-15","10,323.1","Jun-15","10,215.8","Mar-15","10,430.7","Dec-14","10,820.6","Sep-14","12,548.2","Jun-14","11,329.6","Mar-14","10,857.6","Dec-13","11,159.3","Sep-13","7,582.6","Jun-13","10,686.8","Mar-13","11,478.1","LOW","LOW","LOW"
"ICICI Prudential Long Term Equity Fund (Tax Saving) - Direct Plan (G) ","ICICI Prudential Mutual Fund","ELSS","Open-Ended","Growth","Dec-29-2017",500,"N.A.","N.A.","N.A.","N.A.","S&P CNX 500","Jan 01, 2013","3.5","11.2","11.6","26.5","21.6","12.0","18.7","45","14","56","87","89","54","37","14.1","-6.8","3.2","7.4","-10.4","-1.0","11.6","-3.6","25.2","-1.0","0.8","5.7","-","6.2","2.1","10.2","-6.9","4.4","5.4","16.7","27.5","4.9","5.1","51.8","8.2","384.98 (Jan 17, 18)","301.49 (Jan 20, 17)","Infosys","Thomas Cook","Sundaram Fin","ICICI Bank","ITC","GlaxoSmith Con","HDFC Bank","TCS","Ipca Labs","Larsen","Technology","Miscellaneous","Banking/Finance","Banking/Finance","Tobacco","Food & Beverage","Banking/Finance","Technology","Pharmaceuticals","Engineering","1,335.66","1,329.98","1,145.26","1,085.58","986.11","957.70","900.86","861.07","844.02","818.45","4.70","4.68","4.03","3.82","3.47","3.37","3.17","3.03","2.97","2.88",97.22,0,0,"N.A",0,2.74,"20.70","36.12","40.82","Banking/Finance","Technology","Oil & Gas","Engineering","Pharmaceuticals","Miscellaneous","21.27","10.70","8.85","7.76","7.01","6.48","19.21","14.52","0.00","4.79","18.55","6.24","19.21","14.52","0.00","4.79","18.55","6.24","Dec-17","342.0","Sep-17","312.1","Jun-17","298.0","Mar-17","252.8","Dec-16","214.8","Sep-16","199.2","Jun-16","164.4","Mar-16","129.4","Dec-15","119.5","Sep-15","108.1","Jun-15","96.0","Mar-15","78.3","Dec-14","56.9","Sep-14","44.6","Jun-14","33.2","Mar-14","20.1","Dec-13","13.5","Sep-13","10.3","Jun-13","8.7","Mar-13","3.4","MODERATELY HIGH","MODERATELY HIGH","MODERATELY HIGH"
"ICICI Prudential Long Term Equity Fund (Tax Saving) (G) ","ICICI Prudential Mutual Fund","ELSS","Open-Ended","Growth","Dec-29-2017",500,"Rs.6.00 (Mar-21-2000)","N.A.","N.A.","N.A.","S&P CNX 500","Aug 09, 1999","3.3","10.8","10.9","24.8","20.0","10.7","17.5","49","20","67","96","91","70","50","13.7","-7.1","2.9","7.2","-8.9","-1.3","11.2","-3.8","25.0","-1.2","0.4","5.4","-0.3","6.0","1.9","9.9","-7.2","4.2","5.2","16.5","25.9","3.6","4.1","50.5","9.5","365.95 (Jan 17, 18)","290.29 (Jan 20, 17)","Infosys","Thomas Cook","Sundaram Fin","ICICI Bank","ITC","GlaxoSmith Con","HDFC Bank","TCS","Ipca Labs","Larsen","Technology","Miscellaneous","Banking/Finance","Banking/Finance","Tobacco","Food & Beverage","Banking/Finance","Technology","Pharmaceuticals","Engineering","4,540.52","4,521.20","3,893.25","3,690.38","3,352.26","3,255.65","3,062.44","2,927.19","2,869.22","2,782.28","4.70","4.68","4.03","3.82","3.47","3.37","3.17","3.03","2.97","2.88",97.22,0,0,"N.A",0,2.74,"20.70","36.12","40.82","Banking/Finance","Technology","Oil & Gas","Engineering","Pharmaceuticals","Miscellaneous","21.27","10.70","8.85","7.76","7.01","6.48","19.21","14.52","0.00","4.79","18.55","6.24","19.21","14.52","0.00","4.79","18.55","6.24","Dec-17","4,433.8","Sep-17","4,143.3","Jun-17","4,062.7","Mar-17","3,653.9","Dec-16","3,369.6","Sep-16","3,296.2","Jun-16","2,894.4","Mar-16","2,610.2","Dec-15","2,675.0","Sep-15","2,606.6","Jun-15","2,529.2","Mar-15","2,477.6","Dec-14","2,283.7","Sep-14","2,123.4","Jun-14","1,840.9","Mar-14","1,547.5","Dec-13","1,497.8","Sep-13","1,353.2","Jun-13","1,397.9","Mar-13","1,468.0","MODERATELY HIGH","MODERATELY HIGH","MODERATELY HIGH"
"ICICI Prudential Long Term Gilt Fund - Direct Plan (G) ","ICICI Prudential Mutual Fund","Gilt Long Term","Open-Ended","Growth","Dec-29-2017",5000,"N.A.","N.A.","N.A.","N.A.","","Jan 01, 2013","-0.9","-2.0","-2.3","1.3","10.8","8.4","8.7","25","47","54","50","7","15","32","-2.3","3.5","3.3","2.7","0.9","5.3","3.2","-1.6","5.7","5.5","0.9","7.1","5.1","1.9","-8.0","-2.1","2.7","-0.7","8.1","1.7","1.2","18.8","6.5","19.1","-0.4","62.32 (Aug 03, 17)","56.80 (Mar 10, 17)","Government Securities","Government Securities","Government Securities","Government Securities","Government Securities","Government Securities","State Government of Tamil Nadu","State Government of Tamil Nadu","State Government of Tamil Nadu","Government Securities","SOV","SOV","SOV","SOV","SOV","SOV","SOV","SOV","SOV","SOV","178.59","81.01","53.62","45.11","23.87","10.57","5.54","5.29","5.29","4.83","35.47","16.09","10.65","8.96","4.74","2.10","1.10","1.05","1.05","0.96",0,0,82.77,"N.A",6.25,10.99,"75.91","82.17","N.A.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","499.1","Sep-17","865.5","Jun-17","942.6","Mar-17","1,284.5","Dec-16","1,407.9","Sep-16","1,092.3","Jun-16","892.9","Mar-16","866.1","Dec-15","976.2","Sep-15","835.9","Jun-15","775.5","Mar-15","637.8","Dec-14","461.0","Sep-14","326.1","Jun-14","327.0","Mar-14","209.6","Dec-13","151.0","Sep-13","74.5","Jun-13","76.9","Mar-13","14.7","MODERATE","MODERATE","MODERATE"
